AUCROC,accuracy,loss,triplet_loss,val_AUCROC,val_accuracy,val_loss,val_triplet_loss,learning_rate
0.575603187084198,0.598437488079071,2.5402252674102783,1.8261951208114624,0.5057773590087891,0.5142857432365417,1.7207427024841309,1.0015830993652344,4.999999873689376e-05
0.6814228892326355,0.706250011920929,1.589178204536438,0.8606088757514954,0.4884454011917114,0.49714285135269165,1.6350324153900146,0.9297780990600586,4.650000118999742e-05
0.7655434012413025,0.7906249761581421,1.185150384902954,0.4396214187145233,0.588760495185852,0.5885714292526245,1.2851258516311646,0.5521876811981201,4.3244999687885866e-05
0.8325942158699036,0.8450000286102295,0.9833714962005615,0.23156122863292694,0.6391806602478027,0.6571428775787354,1.0693556070327759,0.34317776560783386,4.021784843644127e-05
0.8261892199516296,0.8381249904632568,0.9708965420722961,0.21586495637893677,0.6008403301239014,0.6114285588264465,1.0745071172714233,0.3563348054885864,3.740260217455216e-05
0.853640615940094,0.8571875095367432,0.9316747784614563,0.17513753473758698,0.5940126180648804,0.5828571319580078,1.1004564762115479,0.39064809679985046,3.4784417948685586e-05
0.8521591424942017,0.8559374809265137,0.8938530087471008,0.14873842895030975,0.6323529481887817,0.6285714507102966,1.045794129371643,0.3439951241016388,3.234950781916268e-05
0.8676007986068726,0.8665624856948853,0.8867568373680115,0.14234432578086853,0.6801470518112183,0.6742857098579407,0.9652504920959473,0.24325619637966156,3.0085044272709638e-05
0.8716900944709778,0.8712499737739563,0.8582343459129333,0.11796072870492935,0.7153362035751343,0.7028571367263794,0.919501781463623,0.2131148725748062,2.7979091100860387e-05
0.8632055521011353,0.8584374785423279,0.8619373440742493,0.12734197080135345,0.7405462265014648,0.7371428608894348,0.8765186667442322,0.16219641268253326,2.6020554287242703e-05
0.8644492030143738,0.8615624904632568,0.8514545559883118,0.12005342543125153,0.680672287940979,0.668571412563324,0.9036963582038879,0.19960086047649384,2.419911470497027e-05
0.8691620230674744,0.8643749952316284,0.8366689085960388,0.10241744667291641,0.6144957542419434,0.6171428561210632,0.9247450232505798,0.21076524257659912,2.2505177184939384e-05
0.8970595002174377,0.8918750286102295,0.8311827778816223,0.09446525573730469,0.6848739385604858,0.6742857098579407,0.937355101108551,0.2557556629180908,2.0929814127157442e-05
0.905888557434082,0.895312488079071,0.7995150089263916,0.07380130887031555,0.693802535533905,0.6800000071525574,0.9040178656578064,0.2092088907957077,1.9464727301965468e-05
0.8797796368598938,0.8706250190734863,0.8203929662704468,0.09146808832883835,0.7111344337463379,0.6971428394317627,0.902398943901062,0.20766688883304596,1.8102196918334812e-05
0.8806910514831543,0.8650000095367432,0.8158332109451294,0.09375366568565369,0.694852888584137,0.668571412563324,0.9050790667533875,0.22390508651733398,1.683504342508968e-05
0.9020178914070129,0.8909375071525574,0.799955427646637,0.07528530061244965,0.6853991150856018,0.668571412563324,0.8721210360527039,0.1830078512430191,1.5656589312129654e-05
0.9206060767173767,0.9040625095367432,0.7830122113227844,0.06350546330213547,0.756302535533905,0.7200000286102295,0.8746032118797302,0.18694287538528442,1.4560629097104538e-05
0.9044358730316162,0.8887500166893005,0.7864047288894653,0.07121016085147858,0.7426470518112183,0.7142857313156128,0.8575314879417419,0.15970350801944733,1.3541384760173969e-05
0.8629052042961121,0.84375,0.8057600259780884,0.10009506344795227,0.7368696928024292,0.7257142663002014,0.8547720909118652,0.14281414449214935,1.259348755411338e-05
0.8989434838294983,0.8815624713897705,0.786824107170105,0.07403292506933212,0.7893907427787781,0.7714285850524902,0.8495833277702332,0.12738226354122162,1.1711943443515338e-05
0.8858485817909241,0.8646875023841858,0.7989003658294678,0.08497194945812225,0.7631301879882812,0.7485714554786682,0.8351850509643555,0.12195689231157303,1.0892107638937887e-05
0.8785257339477539,0.8618749976158142,0.7935077548027039,0.08690227568149567,0.7683823704719543,0.7428571581840515,0.8399098515510559,0.16393131017684937,1.0129660040547606e-05
0.8983727693557739,0.8768749833106995,0.7809273600578308,0.07558312267065048,0.7988445162773132,0.7714285850524902,0.8294074535369873,0.15074248611927032,9.420584319741465e-06
0.9018164873123169,0.8793749809265137,0.7701601386070251,0.07304278761148453,0.7904411554336548,0.7599999904632568,0.8332578539848328,0.13536089658737183,8.76114336278988e-06
0.9184904098510742,0.8918750286102295,0.763831377029419,0.0638633668422699,0.8167016506195068,0.7828571200370789,0.8232877850532532,0.1325283944606781,8.147862899932079e-06
0.907546877861023,0.8828125,0.7679023742675781,0.06573541462421417,0.7725839614868164,0.7485714554786682,0.8265912532806396,0.13266006112098694,7.577512405987363e-06
0.9110708832740784,0.8899999856948853,0.7645423412322998,0.0676746740937233,0.8214285969734192,0.7828571200370789,0.8264521956443787,0.13845130801200867,7.047086910461076e-06
0.9000471830368042,0.8740624785423279,0.7706316113471985,0.07332956790924072,0.8077730536460876,0.7771428823471069,0.8304449319839478,0.1362365335226059,6.553790626639966e-06
0.8849146366119385,0.8621875047683716,0.7715418934822083,0.08280859142541885,0.8125,0.7771428823471069,0.8266510963439941,0.14157675206661224,6.095025128161069e-06
0.8986058235168457,0.8721874952316284,0.7622334361076355,0.0777892917394638,0.8214285969734192,0.7828571200370789,0.8145781755447388,0.14605946838855743,5.668373432854423e-06
0.9016048312187195,0.8740624785423279,0.7518620491027832,0.06852178275585175,0.826155424118042,0.7828571200370789,0.8112903833389282,0.13247965276241302,5.271587269817246e-06
0.9227862358093262,0.8971874713897705,0.7515064477920532,0.061401039361953735,0.8004201650619507,0.7542856931686401,0.8089610934257507,0.14390015602111816,4.902576165477512e-06
0.8710620403289795,0.8381249904632568,0.7671451568603516,0.09422575682401657,0.8214285969734192,0.7828571200370789,0.8085461258888245,0.12380418926477432,4.5593960749101825e-06
0.9122402667999268,0.8846874833106995,0.7557289004325867,0.07489704340696335,0.8303571343421936,0.7885714173316956,0.8132321834564209,0.13546156883239746,4.24023801315343e-06
